"country","capital","latitude","longitude","closest_capital","farthest_capital"
"Honduras","Tegucigalpa",14.08,-87.21,"San Salvador","West Island"
"Hong Kong","Hong Kong",22.29,114.16,"Macao","Sucre"
"Hungary","Budapest",47.5,19.04,"Bratislava","Wellington"
"Iceland","Reykjav�k",64.14,-21.9,"T�rshavn","Wellington"
"India","New Delhi",28.64,77.22,"Islamabad","Adamstown"
"Indonesia","Jakarta",-6.21,106.85,"The Settlement","Bogot�"
"Iran","Tehran",35.69,51.42,"Baku","Adamstown"
"Iraq","Baghdad",33.34,44.4,"Kuwait City","Adamstown"
"Ireland","Dublin",53.33,-6.25,"Dublin","Wellington"
"Isle of Man","Douglas",54.15,-4.48,"Dublin","Wellington"
"Israel","Jerusalem",35.23,31.77,"Nicosia","Avarua"
"Italy","Rome",41.89,12.48,"Vatican","Wellington"
"Ivory Coast","Yamoussoukro",6.82,-5.28,"Accra","Nukunonu"
"Jamaica","Kingston",18.0,-76.79,"Port-au-Prince","The Settlement"
"Japan","Edo",35.69,139.69,"Seoul","Montevideo"
"Jersey","Saint Helier",49.19,-2.1,"St Peter Port","Wellington"
"Jordan","Amman",31.96,35.95,"Damascus","Adamstown"
"Kazakhstan","Astana",51.18,71.45,"Bishkek","Adamstown"
"Kenya","Nairobi",-1.28,36.82,"Kampala","Papeete"
"Kiribati","South Tarawa",1.33,172.98,"Majuro","Yamoussoukro"
"Kosovo","Pristina",42.67,21.17,"Skopje","Wellington"
"Kuwait","Kuwait City",29.37,47.98,"Manama","Adamstown"
"Kyrgyzstan","Bishkek",42.87,74.59,"Tashkent","Adamstown"
"Laos","Vientiane",17.97,102.6,"Hanoi","Lima"
"Latvia","Riga",56.95,24.11,"Vilnius","Wellington"
"Lebanon","Beirut",33.89,35.49,"Damascus","Adamstown"
"Lesotho","Maseru",-29.32,27.48,"Pretoria","Yaren"
"Liberia","Monrovia",6.3,-10.8,"Freetown","Nukunonu"
"Libya","Tripoli",32.88,13.19,"Valletta","Avarua"
"Liechtenstein","Vaduz",47.14,9.52,"Berne","Wellington"
"Lithuania","Vilnius",54.69,25.28,"Minsk","Wellington"
"Luxembourg","Luxembourg",49.61,6.13,"Brussels","Wellington"
"Macao","Macao",22.2,113.55,"Hong Kong","Sucre"
"Macedonia","Skopje",42.0,21.43,"Pristina","Wellington"
"Madagascar","Antananarivo",-18.91,47.54,"Mamoutzou","Mexico City"
"Malawi","Lilongwe",-13.97,33.79,"Harare","Papeete"
"Malaysia","Kuala Lumpur",3.14,101.69,"Singapore","Quito"
"Maldives","Mal�",4.17,73.51,"Colombo","New Guatemala"
"Mali","Bamako",12.65,-8.0,"Ouagadougou","Nukunonu"
"Malta","Valletta",35.9,14.51,"Tripoli","Avarua"
"Marshall Islands","Majuro",7.09,171.38,"South Tarawa","Jamestown"
"Martinique","Fort-de-France",14.61,-61.07,"Castries","Dili"
"Mauritania","Nouakchott",18.09,-15.98,"Dakar","Port Vila"
"Mauritius","Port Louis",-20.16,57.5,"Saint-Denis","Mexico City"
"Mayotte","Mamoutzou",-12.78,45.23,"Moroni","Papeete"
"Mexico","Mexico City",19.43,-99.13,"New Guatemala","West Island"
"Micronesia","Palikir",6.92,158.16,"Majuro","Monrovia"
"Moldova","Chi?in?u",47.01,28.86,"Bucharest","Wellington"
"Monaco","Monaco",43.73,7.42,"Berne","Wellington"
"Mongolia","Ulan Bator",47.91,106.88,"Beijing","Stanley"
"Montenegro","Podgorica",42.44,19.26,"Tirana","Wellington"
"Montserrat","Plymouth",16.71,-62.21,"St. John's","Dili"
"Morocco","Rabat",34.01,-6.83,"Gibraltar","Kingston"
"Mozambique","Maputo",-25.97,32.58,"Mbabane","Yaren"
"Myanmar","Nay Pyi Taw",19.75,96.13,"Vientiane","Lima"
"Namibia","Windhoek",-22.56,17.08,"Gaborone","Windhoek"
"Nauru","Yaren",166.93,-0.54,"Majuro","Jamestown"
"Nepal","Kathmandu",27.7,85.32,"Thimphu","Santiago"
"Netherlands","Amsterdam",52.37,4.89,"Brussels","Wellington"
"Netherlands Antilles","Willemstad",-68.92,12.1,"Grytviken","Longyearbyen"
"New Caledonia","Noumea",-22.28,166.46,"Port Vila","Nouakchott"
"New Zealand","Wellington",-41.29,174.78,"Kingston","Madrid"
"Nicaragua","Managua",12.13,-86.25,"Tegucigalpa","West Island"
"Niger","Niamey",13.51,2.11,"Ouagadougou","Mata-Utu"
"Nigeria","Abuja",9.07,7.48,"Malabo","Apia"
"Niue","Alofi",-19.06,-169.92,"Pago Pago","N'Djamena"
"Norfolk Island","Kingston",-29.05,167.97,"Noumea","El Aai�n"
"North Korea","Pyongyang",39.03,125.75,"Seoul","Montevideo"
"Northern Mariana Islands","Saipan",15.21,145.75,"Hag�t�a","Bras�lia"
"Norway","Oslo",59.91,10.75,"Stockholm","Wellington"
"Oman","Muscat",23.61,58.59,"Abu Dhabi","Adamstown"
"Pakistan","Islamabad",33.72,73.04,"Kabul","Adamstown"
"Palau","Melekeok",7.5,134.62,"Hag�t�a","Bras�lia"
"Palestinian Territory","East Jerusalem",35.23,31.77,"Nicosia","Avarua"
"Panama","Panama City",8.99,-79.52,"San Jos�","West Island"
"Papua New Guinea","Port Moresby",-9.44,147.18,"Honiara","Praia"
"Paraguay","Asunci�n",-25.3,-57.64,"Buenos Aires","Taipei"
"Peru","Lima",-12.04,-77.03,"Quito","Phnom Penh"
"Philippines","Manila",14.6,120.98,"Hong Kong","Sucre"
"Pitcairn","Adamstown",-25.07,-130.1,"Papeete","Manama"
"Poland","Warsaw",52.23,21.01,"Vilnius","Wellington"
"Portugal","Lisbon",38.72,-9.13,"Gibraltar","Wellington"
"Puerto Rico","San Juan",18.47,-66.11,"Charlotte Amalie","The Settlement"
"Qatar","Doha",25.28,51.52,"Manama","Adamstown"
"Republic of the Congo","Brazzaville",-4.27,15.28,"Kinshasa","Yaren"
"Reunion","Saint-Denis",-20.88,55.45,"Port Louis","Mexico City"
"Romania","Bucharest",44.43,26.11,"Sofia","Wellington"
"Russia","Moscow",55.75,37.62,"Minsk","Wellington"
"Rwanda","Kigali",-1.95,30.06,"Bujumbura","Papeete"
"Saint Barth�lemy","Gustavia",17.9,-62.85,"Marigot","Dili"
"Saint Helena","Jamestown",-15.94,-5.72,"Luanda","Yaren"
"Saint Kitts and Nevis","Basseterre",17.29,-62.73,"Gustavia","Dili"
"Saint Lucia","Castries",14.0,-61.01,"Fort-de-France","Dili"
"Saint Martin","Marigot",18.07,-63.08,"The Valley","Dili"
"Saint Pierre and Miquelon","Saint-Pierre",46.78,-56.17,"Ottawa","Canberra"
"Saint Vincent and the Grenadines","Kingstown",13.16,-61.22,"Castries","Dili"
"Samoa","Apia",-13.83,-171.77,"Pago Pago","Abuja"
"San Marino","San Marino",43.94,12.45,"Vatican","Wellington"
"Sao Tome and Principe","S�o Tom�",0.34,6.73,"Libreville","Funafuti"
"Saudi Arabia","Riyadh",24.69,46.72,"Manama","Adamstown"
